inning,ball,wickets_so_far,balls_in_partnership,runs_so_far,run_rate_last_5_overs,balls_since_last_boundary,boundary_this_over,wicket_this_over,strike_rate,bowling_average,batting_average,bowling_strike_rate,required_run_rate,big_moment
2,0.1,0,0,0,0.0,0,0,0,88.92,34.26,49.14,37.7,5.671342685370742,0
2,0.2,0,1,0,0.0,1,0,0,88.92,34.26,49.14,37.7,5.68273092369478,0
2,0.3,0,2,0,0.0,2,0,0,88.92,34.26,49.14,37.7,5.694164989939638,0
2,0.4,0,3,0,0.0,3,0,0,88.92,34.26,49.14,37.7,5.705645161290322,0
2,0.5,0,4,0,0.0,4,0,0,88.92,34.26,49.14,37.7,5.717171717171717,0
2,0.6,0,5,0,0.0,5,0,0,88.92,34.26,49.14,37.7,5.728744939271255,0
2,1.1,0,6,0,0.0,6,0,0,94.01,28.2,44.5,28.4,5.787321063394683,0
2,1.2,0,7,3,2.5,7,0,0,88.92,28.2,49.14,28.4,5.7377049180327875,0
2,1.3,0,8,3,2.307692308,8,0,0,88.92,28.2,49.14,28.4,5.749486652977413,0
2,1.4,0,9,3,2.142857143,9,0,0,88.92,28.2,49.14,28.4,5.761316872427983,0
2,1.5,0,10,4,2.666666667,10,0,0,94.01,28.2,44.5,28.4,5.752577319587629,0
2,1.6,0,11,4,2.5,11,0,0,88.92,28.2,49.14,28.4,5.764462809917355,0
2,1.7,0,12,4,2.352941176,12,0,0,88.92,28.2,49.14,28.4,5.77639751552795,0
2,2.1,0,13,5,2.3809523809999997,13,0,0,88.92,34.26,49.14,37.7,5.803757828810021,0
2,2.2,0,14,5,2.272727273,14,0,0,88.92,34.26,49.14,37.7,5.815899581589958,0
2,2.3,0,15,5,2.173913043,15,0,0,88.92,34.26,49.14,37.7,5.828092243186583,0
2,2.4,0,16,5,2.083333333,16,0,0,88.92,34.26,49.14,37.7,5.840336134453781,0
2,2.5,0,17,5,2.0,17,0,0,88.92,34.26,49.14,37.7,5.852631578947369,0
2,2.6,0,18,5,1.9230769230000002,18,0,0,88.92,34.26,49.14,37.7,5.864978902953586,0
2,3.1,0,19,5,1.612903226,19,0,0,94.01,28.2,44.5,28.4,5.927505330490406,0
2,3.2,0,20,5,1.5625,20,0,0,94.01,28.2,44.5,28.4,5.94017094017094,0
2,3.3,0,21,6,1.8181818180000002,21,0,0,88.92,28.2,49.14,28.4,5.931477516059957,0
2,3.4,0,22,6,1.764705882,22,0,0,88.92,28.2,49.14,28.4,5.9442060085836905,0
2,3.5,0,23,6,1.714285714,23,0,0,88.92,28.2,49.14,28.4,5.956989247311828,0
2,3.6,0,24,6,1.6666666669999999,24,0,0,88.92,28.2,49.14,28.4,5.969827586206897,0
2,3.7,0,25,6,1.621621622,25,0,0,88.92,28.2,49.14,28.4,5.982721382289418,0
2,4.1,0,26,6,1.463414634,26,0,0,94.01,34.26,44.5,37.7,6.034858387799565,0
2,4.2,0,27,6,1.428571429,27,0,0,94.01,34.26,44.5,37.7,6.048034934497817,0
2,4.3,0,28,6,1.3953488369999998,28,0,0,94.01,34.26,44.5,37.7,6.061269146608315,0
2,4.4,0,29,6,1.363636364,29,0,0,94.01,34.26,44.5,37.7,6.074561403508771,0
2,4.5,0,30,8,1.7777777780000001,30,0,0,94.01,34.26,44.5,37.7,6.043956043956044,0
2,4.6,0,31,9,1.956521739,31,0,0,88.92,34.26,49.14,37.7,6.035242290748899,0
2,5.1,0,32,10,2.0,32,0,1,88.92,28.2,49.14,28.4,6.080178173719377,1
2,5.2,0,33,10,2.0,33,0,1,88.92,28.2,49.14,28.4,6.09375,1
2,5.3,1,0,10,2.0,34,0,0,80.89,28.2,59.84,28.4,6.10738255033557,0
2,5.4,1,1,10,2.0,35,0,0,80.89,28.2,59.84,28.4,6.121076233183857,0
2,5.5,1,2,10,2.0,36,0,0,80.89,28.2,59.84,28.4,6.134831460674158,0
2,5.6,1,3,14,2.2,0,0,0,80.89,28.2,59.84,28.4,6.058558558558559,0
2,6.1,1,4,14,2.2,1,0,0,94.01,34.26,44.5,37.7,6.12756264236902,0
2,6.2,1,5,14,2.2,2,0,0,94.01,34.26,44.5,37.7,6.141552511415526,0
2,6.3,1,6,14,2.0,3,0,0,94.01,34.26,44.5,37.7,6.155606407322654,0
2,6.4,1,7,18,2.8,0,0,0,94.01,34.26,44.5,37.7,6.077981651376146,0
2,6.5,1,8,18,2.8,1,0,0,94.01,34.26,44.5,37.7,6.091954022988506,0
2,6.6,1,9,18,2.6,2,0,0,94.01,34.26,44.5,37.7,6.105990783410139,0
2,7.1,1,10,18,2.6,3,1,0,80.89,28.2,59.84,28.4,6.177156177156177,1
2,7.2,1,11,18,2.6,4,1,0,80.89,28.2,59.84,28.4,6.191588785046729,1
2,7.3,1,12,22,3.4,0,0,0,80.89,28.2,59.84,28.4,6.112412177985948,0
2,7.4,1,13,22,3.4,1,0,0,80.89,28.2,59.84,28.4,6.126760563380281,0
2,7.5,1,14,22,3.4,2,0,0,80.89,28.2,59.84,28.4,6.141176470588236,0
2,7.6,1,15,26,4.2,0,0,0,80.89,28.2,59.84,28.4,6.061320754716982,0
2,8.1,1,16,26,4.2,1,0,0,94.01,34.26,44.5,37.7,6.133651551312649,0
2,8.2,1,17,26,4.0,2,0,0,94.01,34.26,44.5,37.7,6.148325358851675,0
2,8.3,1,18,26,4.0,3,0,0,94.01,34.26,44.5,37.7,6.163069544364508,0
2,8.4,1,19,30,4.8,0,0,0,94.01,34.26,44.5,37.7,6.081730769230769,0
2,8.5,1,20,32,5.2,1,0,0,94.01,34.26,44.5,37.7,6.048192771084337,0
2,8.6,1,21,33,5.4,2,0,0,80.89,34.26,59.84,37.7,6.038647342995169,0
2,9.1,1,22,33,5.4,3,0,0,94.01,38.56,44.5,43.9,6.112469437652812,0
2,9.2,1,23,37,6.2,0,0,0,94.01,38.56,44.5,43.9,6.029411764705883,0
2,9.3,1,24,37,6.2,1,0,0,94.01,38.56,44.5,43.9,6.044226044226043,0
2,9.4,1,25,37,6.2,2,0,0,94.01,38.56,44.5,43.9,6.05911330049261,0
2,9.5,1,26,37,5.8,3,0,0,94.01,38.56,44.5,43.9,6.074074074074074,0
2,9.6,1,27,37,5.6,4,0,0,94.01,38.56,44.5,43.9,6.089108910891089,0
2,9.7,1,28,37,5.4,5,0,0,94.01,38.56,44.5,43.9,6.104218362282879,0
2,10.1,1,29,37,5.4,6,0,0,80.89,25.03,59.84,24.7,6.165413533834586,0
2,10.2,1,30,37,5.4,7,0,0,80.89,25.03,59.84,24.7,6.180904522613066,0
2,10.3,1,31,37,5.4,8,0,0,80.89,25.03,59.84,24.7,6.196473551637279,0
2,10.4,1,32,37,5.4,9,0,0,80.89,25.03,59.84,24.7,6.212121212121212,0
2,10.5,1,33,39,5.0,10,0,0,80.89,25.03,59.84,24.7,6.177215189873418,0
2,10.6,1,34,41,5.4,11,0,0,80.89,25.03,59.84,24.7,6.1421319796954315,0
2,11.1,1,35,41,5.4,12,0,0,94.01,38.56,44.5,43.9,6.22107969151671,0
2,11.2,1,36,42,5.6,13,0,0,80.89,38.56,59.84,43.9,6.211340206185567,0
2,11.3,1,37,46,5.6,0,0,0,80.89,38.56,59.84,43.9,6.124031007751937,0
2,11.4,1,38,46,5.6,1,0,0,80.89,38.56,59.84,43.9,6.139896373056994,0
2,11.5,1,39,46,5.6,2,0,0,80.89,38.56,59.84,43.9,6.1558441558441555,0
2,11.6,1,40,47,5.8,3,0,0,94.01,38.56,44.5,43.9,6.145833333333334,0
2,12.1,1,41,47,5.8,4,0,0,80.89,25.03,59.84,24.7,6.226912928759894,0
2,12.2,1,42,47,5.0,5,0,0,80.89,25.03,59.84,24.7,6.243386243386244,0
2,12.3,1,43,49,5.4,6,0,0,80.89,25.03,59.84,24.7,6.206896551724138,0
2,12.4,1,44,49,5.4,7,0,0,80.89,25.03,59.84,24.7,6.223404255319148,0
2,12.5,1,45,50,4.8,8,0,0,94.01,25.03,44.5,24.7,6.213333333333333,0
2,12.6,1,46,51,5.0,9,0,0,80.89,25.03,59.84,24.7,6.2032085561497325,0
2,13.1,1,47,51,5.0,10,0,0,94.01,38.56,44.5,43.9,6.287262872628727,0
2,13.2,1,48,51,5.0,11,0,0,94.01,38.56,44.5,43.9,6.304347826086957,0
2,13.3,1,49,52,4.4,12,0,0,80.89,38.56,59.84,43.9,6.294277929155313,0
2,13.4,1,50,52,4.0,13,0,0,80.89,38.56,59.84,43.9,6.311475409836065,0
2,13.5,1,51,52,3.8,14,0,0,80.89,38.56,59.84,43.9,6.328767123287672,0
2,13.6,1,52,52,3.8,15,0,0,80.89,38.56,59.84,43.9,6.346153846153847,0
2,13.7,1,53,53,3.2,16,0,0,94.01,38.56,44.5,43.9,6.336088154269973,0
2,14.1,1,54,54,3.4,17,0,0,94.01,25.03,44.5,24.7,6.37883008356546,0
2,14.2,1,55,54,3.4,18,0,0,94.01,25.03,44.5,24.7,6.396648044692738,0
2,14.3,1,56,56,3.8,19,0,0,94.01,25.03,44.5,24.7,6.358543417366946,0
2,14.4,1,57,56,3.8,20,0,0,94.01,25.03,44.5,24.7,6.376404494382022,0
2,14.5,1,58,56,3.8,21,0,0,94.01,25.03,44.5,24.7,6.394366197183099,0
2,14.6,1,59,57,4.0,22,0,0,80.89,25.03,59.84,24.7,6.384180790960452,0
2,15.1,1,60,57,4.0,23,0,0,94.01,38.56,44.5,43.9,6.4756446991404015,0
2,15.2,1,61,58,4.2,24,0,0,80.89,38.56,59.84,43.9,6.4655172413793105,0
2,15.3,1,62,60,4.6,25,0,0,80.89,38.56,59.84,43.9,6.426512968299711,0
2,15.4,1,63,61,4.4,26,0,0,94.01,38.56,44.5,43.9,6.416184971098265,0
2,15.5,1,64,61,4.0,27,0,0,94.01,38.56,44.5,43.9,6.434782608695652,0
2,15.6,1,65,61,4.0,28,0,0,94.01,38.56,44.5,43.9,6.453488372093023,0
2,16.1,1,66,61,3.8,29,0,0,80.89,25.03,59.84,24.7,6.548672566371682,0
2,16.2,1,67,61,3.0,30,0,0,80.89,25.03,59.84,24.7,6.568047337278107,0
2,16.3,1,68,61,3.0,31,0,0,80.89,25.03,59.84,24.7,6.58753709198813,0
2,16.4,1,69,61,3.0,32,0,0,80.89,25.03,59.84,24.7,6.607142857142857,0
2,16.5,1,70,62,3.0,33,0,0,94.01,25.03,44.5,24.7,6.597014925373134,0
2,16.6,1,71,62,3.0,34,0,0,94.01,25.03,44.5,24.7,6.616766467065869,0
2,17.1,1,72,62,3.0,35,0,0,80.89,46.92,59.84,56.1,6.717325227963526,0
2,17.2,1,73,63,2.8,36,0,0,94.01,46.92,44.5,56.1,6.707317073170732,0
2,17.3,1,74,64,3.0,37,0,0,80.89,46.92,59.84,56.1,6.697247706422018,0
2,17.4,1,75,65,3.0,38,0,0,94.01,46.92,44.5,56.1,6.6871165644171775,0
2,17.5,1,76,66,3.0,39,0,0,80.89,46.92,59.84,56.1,6.676923076923077,0
2,17.6,1,77,66,3.0,40,0,0,80.89,46.92,59.84,56.1,6.697530864197531,0
2,18.1,1,78,66,3.0,41,0,1,94.01,25.03,44.5,24.7,6.802507836990596,1
2,18.2,2,0,66,2.8,42,0,0,78.63,25.03,35.26,24.7,6.823899371069182,0
2,18.3,2,1,66,2.8,43,0,0,78.63,25.03,35.26,24.7,6.8454258675078865,0
2,18.4,2,2,67,3.0,44,0,0,80.89,25.03,59.84,24.7,6.8354430379746836,0
2,18.5,2,3,67,3.0,45,0,0,80.89,25.03,59.84,24.7,6.857142857142857,0
2,18.6,2,4,68,3.0,46,0,0,78.63,25.03,35.26,24.7,6.8471337579617835,0
2,18.7,2,5,68,2.8,47,0,0,78.63,25.03,35.26,24.7,6.8690095846645365,0
2,19.1,2,6,68,2.8,48,0,0,80.89,46.92,59.84,56.1,6.957928802588997,0
2,19.2,2,7,69,2.6,49,0,0,78.63,46.92,35.26,56.1,6.948051948051948,0
2,19.3,2,8,69,2.6,50,0,0,78.63,46.92,35.26,56.1,6.970684039087948,0
2,19.4,2,9,69,2.6,51,0,0,78.63,46.92,35.26,56.1,6.993464052287582,0
2,19.5,2,10,70,2.6,52,0,0,80.89,46.92,59.84,56.1,6.983606557377049,0
2,19.6,2,11,71,2.8,53,0,0,78.63,46.92,35.26,56.1,6.973684210526316,0
2,20.1,2,12,72,2.8,54,0,1,78.63,25.03,35.26,24.7,7.05685618729097,1
2,20.2,2,13,74,2.8,55,0,1,78.63,25.03,35.26,24.7,7.0134228187919465,1
2,20.3,2,14,76,3.0,56,0,1,78.63,25.03,35.26,24.7,6.96969696969697,1
2,20.4,2,15,76,3.0,57,0,1,78.63,25.03,35.26,24.7,6.993243243243243,1
2,20.5,2,16,76,3.0,58,0,1,78.63,25.03,35.26,24.7,7.016949152542373,1
2,20.6,2,17,76,3.0,59,0,1,78.63,25.03,35.26,24.7,7.040816326530613,1
2,21.1,3,0,76,3.0,60,0,0,80.89,46.92,59.84,56.1,7.162629757785467,0
2,21.2,3,1,76,3.0,61,0,0,80.89,46.92,59.84,56.1,7.1875,0
2,21.3,3,2,76,3.0,62,0,0,80.89,46.92,59.84,56.1,7.2125435540069684,0
2,21.4,3,3,77,3.0,63,0,0,93.5,46.92,35.31,56.1,7.2027972027972025,0
2,21.5,3,4,77,3.0,64,0,0,93.5,46.92,35.31,56.1,7.228070175438597,0
2,21.6,3,5,77,3.0,65,0,0,93.5,46.92,35.31,56.1,7.253521126760564,0
2,22.1,3,6,78,3.0,66,0,0,93.5,28.2,35.31,28.4,7.347670250896058,0
2,22.2,3,7,79,3.0,67,0,0,80.89,28.2,59.84,28.4,7.338129496402877,0
2,22.3,3,8,80,3.0,68,0,0,93.5,28.2,35.31,28.4,7.328519855595668,0
2,22.4,3,9,81,3.0,69,0,0,80.89,28.2,59.84,28.4,7.318840579710145,0
2,22.5,3,10,82,3.2,70,0,0,93.5,28.2,35.31,28.4,7.3090909090909095,0
2,22.6,3,11,86,4.0,0,0,0,93.5,28.2,35.31,28.4,7.189781021897811,0
2,22.7,3,12,86,4.0,1,0,0,93.5,28.2,35.31,28.4,7.216117216117216,0
2,23.1,3,13,87,4.2,2,0,0,93.5,46.92,35.31,56.1,7.286245353159852,0
2,23.2,3,14,87,4.0,3,0,0,93.5,46.92,35.31,56.1,7.313432835820896,0
2,23.3,3,15,87,4.0,4,0,0,93.5,46.92,35.31,56.1,7.340823970037453,0
2,23.4,3,16,88,4.0,5,0,0,80.89,46.92,59.84,56.1,7.330827067669173,0
